municipality,black_md_age_death,white_md_age_death,total_md_age_death
HAYSVILLE BOROUGH,,77.5,77.5
TRAFFORD BOROUGH,,8,8
BEN AVON HEIGHTS BOROUGH,,86.7,86.7
GLENFIELD BOROUGH,,82.5,82.5
GLEN OSBORNE BOROUGH,,78.6,78.6
ROSSLYN FARMS BOROUGH,,72.8,72.8
SOUTH VERSAILLES TOWNSHIP,,81.7,81.7
SEWICKLEY HEIGHTS BOROUGH,,85.4,85.9
KILBUCK TOWNSHIP,,81,8
WEST ELIZABETH BOROUGH,,73,73
SEWICKLEY HILLS BOROUGH,,8,8
BRADFORD WOODS BOROUGH,,77,76.7
BELL ACRES BOROUGH,,8.7,8.7
LEET TOWNSHIP,,8.9,8.9
LINCOLN BOROUGH,,78.2,78.2
OAKDALE BOROUGH,,76.7,76.7
FRAZER TOWNSHIP,,8.8,8.8
NEVILLE TOWNSHIP,,76.9,76.7
BALDWIN TOWNSHIP,,82.1,82
FAWN TOWNSHIP,,79.1,79.1
CHESWICK BOROUGH,,84.3,84.3
CRESCENT TOWNSHIP,,75.8,75.8
SPRINGDALE BOROUGH,,78.4,78.5
PENNSBURY VILLAGE BOROUGH,,72,73
THORNBURG BOROUGH,,8,8
MCDONALD BOROUGH,,76.5,75.5
HEIDELBERG BOROUGH,,7.7,71.8
ASPINWALL BOROUGH,,8.6,8.4
EAST DEER TOWNSHIP,,77.5,77.9
SPRINGDALE TOWNSHIP,,81.8,81.8
DRAVOSBURG BOROUGH,,78.9,79
LIBERTY BOROUGH,,79.8,79.7
MARSHALL TOWNSHIP,,8.2,79.9
ETNA BOROUGH,,76.7,76.5
PORT VUE BOROUGH,,81,8.9
PINE TOWNSHIP,,82,81.9
WEST DEER TOWNSHIP,,81.1,81
HAMPTON TOWNSHIP,,82.8,82.7
CHALFANT BOROUGH,,76.7,75.8
WALL BOROUGH,,71.2,81.2
LEETSDALE BOROUGH,,85,84.3
ELIZABETH BOROUGH,,79.7,79.4
BLAWNOX BOROUGH,,78.9,78.8
FOX CHAPEL BOROUGH,,83.9,84.1
GREEN TREE BOROUGH,,81.9,81.6
HARMAR TOWNSHIP,,83.2,83.4
