Facility,Address,Latitude,Longitude,Type
"Picciotti, Isabella M MD",1 Allegheny Square,40.451948,-80.004895,Primary Care
UPMC Emergency Medicine Inc,1 Childrens Hospital Drive,40.467315,-79.95359,Primary Care
Hoover Medical Associates PC,100 Delafield Rd,40.490244,-79.895719,Primary Care
Partners in Nephrology and Endocrinology,100 Delafield Road,40.506845,-79.908076,Primary Care
Bahl and Bahl Med Assoc,"100 Delafield Road, Ste 103",40.490244,-79.895719,Primary Care
"Zioncheck, Roger MD PC",100 Eighth Ave,40.347704,-79.866961,Primary Care
Premier Medical Associates CRNP,100 Forest Hills Plaza,40.435067,-79.861938,Primary Care
Heritage Valley Convenient Care Retail,100 Hazel Lane,40.542415,-80.192742,Primary Care
"Zioncheck, Roger MD PC",100 Ninth Ave,40.347396,-79.867398,Primary Care
University of Pittsburgh Physicians,100 North Bellfield,40.447147,-79.951826,Primary Care
Health Associates of Western PA PC,100 South Jackson,40.494569,-80.060335,Primary Care
North Hills Internal Medicine,100 South Jackson Avenue,40.494569,-80.060335,Primary Care
"Yeasted, George A MD",1000 Bower Hill Road,40.378099,-80.06661,Primary Care
Montour Fam Healthcare,1000 Cliff Mine Road,40.457664,-80.194634,Primary Care
JRMC Specialty Practice Wound Care,1000 Higbee Drive,40.337675,-80.021363,Primary Care
CCP Gil,1000 Infinity Drive,40.42118,-79.788102,Primary Care
Premier Medical  Associates Family  Practice,1000 Integrity Drive,40.458341,-79.824722,Primary Care
Chris T ODonnell MD PC,1000 Masonic Drive,40.528404,-80.143566,Primary Care
Circulatory Center of PA Inc,1000 Stonewood Drive,40.642484,-80.065567,Primary Care
Addiction and Recovery Health Services,1000 West View Park Drive,40.516008,-80.037483,Primary Care
Weigles Hill Family Medicine,1001 Weigles Hill Road,40.256259,-79.853304,Primary Care
Mercy Behavioral Health,1004 Arch Street,40.453936,-80.00869,Primary Care
Colonnades Family Medicine,101 Bradford Road,40.642988,-80.069097,Primary Care
Mercy Behavioral Health,101 Station Square Drive,40.432446,-80.004039,Primary Care
University of Pittsburgh Physicians,1011 Bingham Street,40.429746,-79.988099,Primary Care
Preferred Primary Care Physicians,102 Broadway Avenue,40.409413,-80.087205,Primary Care
"Choi, Sean H MD",102 Seventh St.,40.324109,-79.893127,Primary Care
GMA Heyl Family Practice,1020 Center Avenue,40.520578,-80.037986,Primary Care
Comprehensive Care Associates UPMC,1024 West View Park Drive,40.516372,-80.038801,Primary Care
Fatigati and Nalin Associates,1025 Washington Pike,40.367163,-80.110119,Primary Care
Community Family Practice UPMC,1026 Duquesne Boulevard,40.384619,-79.860333,Primary Care
Bentz Grob Scheri and Woodburn Family Medicine,103 Bradford Road,40.643602,-80.06943,Primary Care
RFP RIDC UPMC,103 Gamma Drive,40.494749,-79.872986,Primary Care
Horodnic Family Medicine LLC,103 North Meadows Drive,40.611747,-80.055717,Primary Care
Teladoc Physicians PA,1030 Summer Place,40.37376,-80.060807,Primary Care
Preferred Primary Care Physicians,1039 Brookline Boulevard,40.39201,-80.016117,Primary Care
Health First Medical Assoc UPMC,1048 Lincoln Way,40.354184,-79.825067,Primary Care
"Clements, Harry Michael, MD",1049 Brookline Blvd,40.391982,-80.015966,Primary Care
Prime Care Int Medc Assoc PC,1049 Unity Center Rd,40.476919,-79.754192,Primary Care
Caring Hands Pediatrics PC,105 Braunlich Drive,40.521766,-80.003444,Primary Care
